"id","x","y","eame","heth"
2726,579309.1608,241528.7379,0,0
2727,576413.2338,242770.5337,0,0
2728,634129.227,413608.7179,0,0
2729,630748.0629,411820.9536,1,0
2730,630008.5816,411665.2111,0,0
2731,634360.716,411791.7171,0,0
2732,631515.0002,412807.195,0,0
2733,639622.8787,418368.6388,0,0
2734,634834.4657,419721.8952,0,0
2735,636185.1148,419542.3641,1,0
2736,639195.1449,416406.4295,0,0
2737,637809.1872,419488.0136,0,0
2738,639178.1197,408969.5984,0,0
2739,637238.3617,410608.0158,0,0
2740,638539.7721,409984.7017,0,0
2741,635189.6857,406921.9802,1,0
2742,638730.1981,409184.8256,0,0
2743,631718.7388,552327.4539,0,1
2744,631040.9896,552515.4843,0,1
2745,630221.2061,552596.6334,0,1
2746,629893.9247,552879.8416,0,1
2747,630938.1264,553644.973,0,1
2748,634461.8063,556754.2936,0,1
2749,634055.1769,555465.5368,0,0
2750,634497.9841,557557.3337,0,1
2751,632433.1667,557174.3983,0,1
2752,634296.5843,555994.4701,0,1
2753,635108.4519,548032.2054,0,1
2754,634700.0567,549862.871,0,1
2755,635205.528,548803.0132,0,1
2756,635852.1174,548338.1207,0,0
2757,634695.8885,546481.0636,0,1
2758,398594.449,692183.5069,0,1
2759,398740.9285,693606.7772,0,0
2760,400417.6972,693555.4284,0,1
2761,399671.8582,689946.4091,0,1
2762,399656.4562,689328.6567,0,1
2763,398269.4225,690408.1261,0,1
2764,403784.2813,695591.4894,0,1
2765,403994.8939,698304.1801,0,1
2766,403792.7941,696427.2502,0,1
2767,403504.7629,695092.231,0,1
2768,403807.2816,697295.133,0,1
2769,401946.9464,687927.1822,0,1
2770,404409.6184,687945.0301,0,1
2771,401251.3294,688983.5343,0,1
2772,404064.144,687134.6511,0,1
2773,401568.736,687026.4239,0,1
2774,474381.9097,495293.5434,0,0
2775,474795.9926,497719.0713,0,1
2776,472849.7136,498125.2773,0,0
2777,471296.7784,497742.534,0,0
2778,471772.7176,496939.0611,0,0
2779,479325.2571,502748.8786,0,0
2780,477868.3108,498516.8411,0,0
2781,477669.3397,500153.4226,0,0
2782,478676.3328,501740.9977,0,0
2783,475859.4129,500124.561,0,0
2784,477053.3409,493667.5803,0,0
2785,479204.9439,490914.0366,0,0
2786,479196.3702,490063.1446,0,0
2787,476010.5093,492273.8025,0,0
2788,475993.2895,491490.7319,0,1
2789,532026.0064,633824.3976,0,1
2790,530007.0372,633250.7716,0,1
2791,529976.2097,632746.2798,0,1
2792,532849.3682,635020.5106,0,1
2793,533425.7213,635066.1908,0,1
2794,535752.2064,639621.7527,0,1
2795,536289.9348,640392.057,0,1
2796,537744.7475,640957.2222,0,1
2797,536000.7259,639242.3944,0,1
2798,537693.7321,639137.0547,0,0
2799,538067.9585,629905.9036,0,1
2800,461199.8527,628690.8978,0,1
2801,534782.6726,628202.6814,0,1
2802,536737.7019,628028.8122,0,1
2803,535896.0378,631138.7752,0,1
2804,636870.846,274058.6782,1,0
2805,635345.3557,274101.7401,0,0
2806,634761.1909,274476.2854,0,0
2807,635333.6845,274504.7674,0,0
2808,634933.7208,275042.3521,0,0
2809,637529.8602,277375.7449,0,0
2810,640374.9984,278202.7014,0,0
2811,640531.3966,280441.5888,0,0
2812,639100.5335,279200.1874,0,0
2813,639637.5092,279371.7253,0,0
2814,637910.3963,270799.5399,0,0
2815,639101.8111,271369.9498,0,0
2816,640712.49,272651.0906,0,0
2817,639025.2711,270508.8451,0,0
2818,638533.9692,271151.2927,0,0
2819,642053.2827,268043.6955,0,0
2820,473758.2308,526278.9474,0,1
2821,474453.7399,522080.0112,0,1
2822,471975.1948,525924.47,0,1
2823,471351.7049,526142.531,0,1
2824,472714.4068,522258.2629,0,1
2825,477999.0418,527945.876,0,1
2826,476304.1173,527055.2308,0,0
2827,477231.7744,530588.45,0,1
2828,478244.0676,529028.5593,0,1
2829,477936.2295,529600.5226,0,1
2830,478308.3743,517778.5881,0,0
2831,478730.7742,518402.4055,0,0
2832,476242.8845,520906.4755,0,0
2833,476045.2196,518692.5951,0,1
2834,479114.0228,520407.4111,0,1
2835,551193.1649,521734.4115,0,1
2836,553846.8654,524415.3712,0,0
2837,553022.7311,523531.1629,0,1
2838,551886.8994,524428.5459,0,1
2839,553826.1392,522851.0559,0,1
2840,558656.0864,528767.8054,1,1
2841,558659.5935,527034.7323,0,1
2842,555342.8042,527605.2844,0,1
2843,555411.4529,528948.8087,1,1
2844,558659.6352,527800.182,0,1
2845,557854.7062,517950.1063,1,1
2846,558674.0469,521312.3096,0,1
2847,558970.4782,517957.9601,0,1
2848,555086.0332,520366.0582,0,0
2849,557007.9182,520362.5233,0,1
2850,514498.1347,609369.0278,0,1
2851,511754.5912,607359.9504,0,1
2852,513855.2542,608887.4334,0,1
2853,510508.9029,605340.7241,0,1
2854,510776.0936,605640.3049,0,1
2855,519236.7931,610014.373,0,1
2856,517838.8797,609668.0529,0,0
2857,518724.554,609642.2521,0,1
2858,517132.246,613111.5284,0,1
2859,517159.6154,613684.8266,0,1
2860,519630.4603,610915.4085,0,1
2861,515492.0572,603657.3951,0,1
2862,519569.554,604042.4136,0,1
2863,515479.7566,602745.2319,0,1
2864,516952.331,603186.5293,0,1
2865,516319.904,602778.0068,0,1
